destination region	source region	descendant tips	source node	# descendants	variable	value	file	cumsum
GA	NON_GA	['hCoV-19/USA/GA-QDX-2426/2020|EPI_ISL_604698|2020-03-16']	NODE_0003537	1	upper midroot time	2020.1789617486334	61_refined_importations	8
GA	NON_GA	['hCoV-19/USA/GA-QDX-684/2020|EPI_ISL_571429|2020-03-17']	NODE_0003730	1	lower midroot time	2020.1794897534885	61_refined_importations	10
GA	NON_GA	['hCoV-19/USA/GA-QDX-2558/2020|EPI_ISL_604782|2020-03-14', '|GA-EHC-036J']	NODE_0001488	2	midroot time	2020.1795921975668	61_refined_importations	9
GA	NON_GA	['hCoV-19/USA/GA-QDX-581/2020|EPI_ISL_571292|2020-03-18', '|GA-EHC-041O', '|GA-EHC-110F']	NODE_0002069	3	lower midroot time	2020.1812750682548	61_refined_importations	11
GA	NON_GA	['hCoV-19/USA/GA-QDX-2558/2020|EPI_ISL_604782|2020-03-14', '|GA-EHC-036J']	NODE_0001488	2	upper midroot time	2020.182267375548	61_refined_importations	9
GA	NON_GA	['hCoV-19/USA/GA-QDX-2209/2020|EPI_ISL_604528|2020-03-15']	NODE_0002729	1	lower midroot time	2020.1878993404532	61_refined_importations	12
GA	NON_GA	['|GA-EHC-034H', '|GA-EHC-049W']	NODE_0002050	2	lower midroot time	2020.1884129573264	61_refined_importations	13
GA	NON_GA	['|GA-EHC-016P']	NODE_0002082	1	lower midroot time	2020.191245466724	61_refined_importations	14
GA	NON_GA	['hCoV-19/USA/GA-USAFSAM-S102/2020|EPI_ISL_812330|2020-03-22']	NODE_0003364	1	lower midroot time	2020.1939508489627	61_refined_importations	15
GA	NON_GA	['hCoV-19/USA/GA-QDX-2209/2020|EPI_ISL_604528|2020-03-15']	NODE_0002729	1	upper midroot time	2020.1939890710385	61_refined_importations	10
GA	NON_GA	['hCoV-19/USA/GA-QDX-2209/2020|EPI_ISL_604528|2020-03-15']	NODE_0002729	1	midroot time	2020.1939890715385	61_refined_importations	10
GA	NON_GA	['|GA-EHC-112H']	NODE_0002885	1	lower midroot time	2020.194742362748	61_refined_importations	16
GA	NON_GA	['hCoV-19/USA/GA-QDX-684/2020|EPI_ISL_571429|2020-03-17']	NODE_0003730	1	midroot time	2020.1953454535715	61_refined_importations	11
GA	NON_GA	['hCoV-19/USA/GA-QDX-581/2020|EPI_ISL_571292|2020-03-18', '|GA-EHC-041O', '|GA-EHC-110F']	NODE_0002069	3	upper midroot time	2020.1959080195559	61_refined_importations	11
GA	NON_GA	['hCoV-19/USA/GA-QDX-581/2020|EPI_ISL_571292|2020-03-18', '|GA-EHC-041O', '|GA-EHC-110F']	NODE_0002069	3	midroot time	2020.1960947373184	61_refined_importations	12
GA	NON_GA	['|GA-EHC-034H', '|GA-EHC-049W']	NODE_0002050	2	midroot time	2020.1995518463045	61_refined_importations	13
GA	NON_GA	['|GA-EHC-016P']	NODE_0002082	1	upper midroot time	2020.1995518474573	61_refined_importations	12
GA	NON_GA	['|GA-EHC-016P']	NODE_0002082	1	midroot time	2020.199551847957	61_refined_importations	14
GA	NON_GA	['hCoV-19/USA/GA-QDX-684/2020|EPI_ISL_571429|2020-03-17']	NODE_0003730	1	upper midroot time	2020.1999549000568	61_refined_importations	13
GA	NON_GA	['|GA-EHC-034H', '|GA-EHC-049W']	NODE_0002050	2	upper midroot time	2020.2007419377187	61_refined_importations	14
GA	NON_GA	['|GA-EHC-112H']	NODE_0002885	1	midroot time	2020.2086561769568	61_refined_importations	15
GA	NON_GA	['hCoV-19/USA/GA-USAFSAM-S102/2020|EPI_ISL_812330|2020-03-22']	NODE_0003364	1	midroot time	2020.2119619593734	61_refined_importations	16
GA	NON_GA	['hCoV-19/USA/GA-USAFSAM-S102/2020|EPI_ISL_812330|2020-03-22']	NODE_0003364	1	upper midroot time	2020.2185792349728	61_refined_importations	15
GA	NON_GA	['|GA-EHC-121R']	NODE_0002133	1	lower midroot time	2020.2196574181264	61_refined_importations	17
GA	NON_GA	['|GA-EHC-112H']	NODE_0002885	1	upper midroot time	2020.225367612936	61_refined_importations	16
