name,state,state_conf
hCoV-19/Wuhan/HB-WH1-127/2020|EPI_ISL_454908|2020-03-02,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Spain/AN-IBV-001984/2020|EPI_ISL_509621|2020-03-15,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/OS52/2020|EPI_ISL_450500|2020-01-10,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IVDC-HB-04/2020|EPI_ISL_402120|2020-01-01,NON_GA,"[0.0, 1.0]"
hCoV-19/USA/CA-CZB-1219/2020|EPI_ISL_450468|2020-03-18,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-147/2020|EPI_ISL_455371|2020-03-02,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Wuhan/HB-WH5-237/2020|EPI_ISL_454978|2020-03-14,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0076/2020|EPI_ISL_416379|2020-02-01,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH3-189/2020|EPI_ISL_454946|2020-03-16,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangdong/GDSZ202008-P0020/2020|EPI_ISL_413866|2020-02-05,NON_GA,"[0.0, 1.0]"
hCoV-19/Henan/fahzu0021/2020|EPI_ISL_1040042|2020-02-20,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0126-C45/2020|EPI_ISL_493176|2020-01-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0125-A170/2020|EPI_ISL_493161|2020-01-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IPBCAMS-WH-03/2019|EPI_ISL_403930|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangdong/20SF273/2020|EPI_ISL_428460|2020-01-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-154/2020|EPI_ISL_455373|2020-02-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangzhou/GZMU0030/2020|EPI_ISL_414686|2020-02-27,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-GA-064/2020|EPI_ISL_451315|2020-01-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Indonesia/SA-EIJK13/2020|EPI_ISL_574604|2020-03-24,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH6-241/2020|EPI_ISL_455395|2020-03-15,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangdong/20SF616/2020|EPI_ISL_428465|2020-01-24,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Spain/AR-IBV-2388/2020|EPI_ISL_468786|2020-03-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/49/2020|EPI_ISL_1069199|2020-01-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ62/2020|EPI_ISL_418503|2020-01-22,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Guangzhou/GZMU0031/2020|EPI_ISL_414687|2020-02-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Norway/2087/2020|EPI_ISL_420151|2020-03-17,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0054/2020|EPI_ISL_416362|2020-02-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0045/2020|EPI_ISL_416354|2020-02-04,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/USA/CA-CZB-59X004/2020|EPI_ISL_450486|2020-03-31,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Spain/AN-ISCIII-201616/2020|EPI_ISL_455319|2020-03-05,NON_GA,"[0.0, 1.0]"
hCoV-19/Qatar/QA20/2020|EPI_ISL_427416|2020-03-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangzhou/GZMU0060/2020|EPI_ISL_429103|2020-02-09,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-PHCC2-039/2020|EPI_ISL_451359|2020-01-27,NON_GA,"[0.0, 1.0]"
hCoV-19/Scotland/GCVR-1705CF/2020|EPI_ISL_459700|2020-03-24,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0028/2020|EPI_ISL_416337|2020-02-04,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Jiujiang/JX490/2020|EPI_ISL_455463|2020-02-03,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WHCM-115/2020|EPI_ISL_454995|2020-02-21,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Wuhan/YB012504/2020|EPI_ISL_450489|2020-01-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Beijing/Beijing-01/2020|EPI_ISL_514752|2020-01-03,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Wuhan/HB-WH4-198/2020|EPI_ISL_455386|2020-02-12,NON_GA,"[0.0, 1.0]"
hCoV-19/Qatar/QA22/2020|EPI_ISL_427418|2020-03-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Israel/13075782/2020|EPI_ISL_447447|2020-03-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH3-170/2020|EPI_ISL_454936|2020-02-11,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IVDC-HB-05/2019|EPI_ISL_402121|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangdong/20SF629/2020|EPI_ISL_428466|2020-01-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH3-180/2020|EPI_ISL_455379|2020-03-13,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Wuhan/HB-WH3-188/2020|EPI_ISL_455383|2020-03-03,NON_GA,"[0.0, 1.0]"
hCoV-19/Netherlands/Utrecht_12/2020|EPI_ISL_414462|2020-03-04,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0110/2020|EPI_ISL_416399|2020-02-13,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0126-C5/2020|EPI_ISL_493167|2020-01-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HBCDC-HB-01/2019|EPI_ISL_402132|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0125-A168/2020|EPI_ISL_493159|2020-01-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Indonesia/KI-EIJK-05/2020|EPI_ISL_467374|2020-03-18,NON_GA,"[0.0, 1.0]"
hCoV-19/Qatar/QA21/2020|EPI_ISL_427417|2020-03-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Jian/JX129/2020|EPI_ISL_421253|2020-01-26,NON_GA,"[0.0, 1.0]"
