Canada/MB-NML-651/2020	EPI_ISL_632930	True
Canada/MB_37/2020	EPI_ISL_429818	True
Canada/NB-206/2020	EPI_ISL_479627	True
Canada/NL-NML-1393/2020	EPI_ISL_906770	True
Canada/NL_34/2020	EPI_ISL_429815	True
Canada/NS-NML-910/2020	EPI_ISL_579559	True
Canada/NS-NML-955/2020	EPI_ISL_579585	True
Canada/ON-OICR-SLB2804/2020	EPI_ISL_538335	True
Canada/ON-S120/2020	EPI_ISL_586293	True
Canada/ON-S237/2020	EPI_ISL_755827	True
Canada/ON-S955/2020	EPI_ISL_792091	True
Canada/ON_MU-S1/2020	EPI_ISL_463970	True
Canada/ON_MU-S82/2020	EPI_ISL_463994	True
Canada/QC-JUS-V5241628/2020	EPI_ISL_1241117	True
Canada/QC-JUS-V5250534/2020	EPI_ISL_890748	True
Canada/QC-JUS-V5251006/2020	EPI_ISL_890460	True
Canada/QC-JUS-V5251566/2020	EPI_ISL_890565	True
Canada/QC-JUS-V5262807/2020	EPI_ISL_890509	True
Canada/QC-JUS-V5270613/2020	EPI_ISL_890503	True
Canada/QC-JUS-V5271813/2020	EPI_ISL_890654	True
Canada/QC-JUS-V5271838/2020	EPI_ISL_890793	True
Canada/QC-JUS-V5281174/2020	EPI_ISL_890771	True
Canada/QC-JUS-V5281581/2020	EPI_ISL_890753	True
Canada/QC-JUS-V5281616/2020	EPI_ISL_890765	True
Canada/QC-JUS-V5290618/2020	EPI_ISL_889873	True
Canada/QC-JUS-V5290932/2020	EPI_ISL_890868	True
Canada/QC-JUS-V5301580/2020	EPI_ISL_890810	True
Canada/QC-JUS-V5301970/2020	EPI_ISL_889875	True
Canada/QC-JUS-V5311004/2020	EPI_ISL_889952	True
Canada/QC-JUS-V5311461/2020	EPI_ISL_889904	True
Canada/QC-JUS-V6020494/2020	EPI_ISL_1241209	True
Canada/QC-LSPQ-L00215858/2020	EPI_ISL_535740	True
Canada/QC-LSPQ-L00231271/2020	EPI_ISL_535949	True
Canada/QC-LSPQ-L00241782/2020	EPI_ISL_536290	True
Canada/Qc-LSPQ-L00213861/2020	EPI_ISL_535721	True
Canada/Qc-LSPQ-L00216909/2020	EPI_ISL_535753	True
Canada/Qc-LSPQ-L00228636/2020	EPI_ISL_535874	True
Canada/Qc-LSPQ-L00234537/2020	EPI_ISL_536057	True
Canada/Qc-LSPQ-L00238342/2020	EPI_ISL_536207	True
Canada/Qc-LSPQ-L00239296/2020	EPI_ISL_536243	True
Canada/Qc-LSPQ-L00240479/2020	EPI_ISL_536272	True
Canada/Qc-LSPQ-L00241924/2020	EPI_ISL_536296	True
Canada/Qc-LSPQ-L00243345/2020	EPI_ISL_536359	True
Canada/Qc-LSPQ-L00243417/2020	EPI_ISL_536361	True
Changzhou/JS27/2020	EPI_ISL_455680	True
Chile/BI-ISPCH-1/2020	EPI_ISL_445271	True
Chile/LI-ISPCH-1/2020	EPI_ISL_445273	True
Chile/MA-30037/2020	EPI_ISL_1167793	True
Chile/MA-CMM-31600/2020	EPI_ISL_459861	True
Chile/MA-ISPCH-4/2020	EPI_ISL_445282	True
Chile/MA-ISPCH-7/2020	EPI_ISL_445288	True
Chile/RM-ISPCH-32/2020	EPI_ISL_445311	True
Chile/RM-ISPCH-34/2020	EPI_ISL_445313	True
Chile/RM-ISPCH-48/2020	EPI_ISL_445327	True
Chile/Santiago-PUC_MVL_0024/2020	EPI_ISL_801615	True
Chile/Santiago-PUC_MVL_0027/2020	EPI_ISL_801618	True
Chile/Santiago-PUC_MVL_0041/2020	EPI_ISL_801632	True
Chile/Santiago-PUC_MVL_0051/2020	EPI_ISL_801641	True
Chile/Santiago-PUC_MVL_0075/2020	EPI_ISL_801659	True
Chile/Santiago-PUC_MVL_0083/2020	EPI_ISL_801667	True
Chile/Santiago-op9d0/2020	EPI_ISL_801590	True
Chongqing/ZX01/2020	EPI_ISL_408479	True
