USA/UT-QDX-2607/2020	EPI_ISL_604969
USA/UT-QDX-49/2020	EPI_ISL_467919
USA/UT-QDX-57/2020	EPI_ISL_467920
USA/UT-QDX-63/2020	EPI_ISL_467921
USA/VA-DCLS-0070/2020	EPI_ISL_429970
USA/VA-DCLS-0071/2020	EPI_ISL_429971
USA/VA-DCLS-0544/2020	EPI_ISL_485845
USA/VA-DCLS-0591/2020	EPI_ISL_526811
USA/VA-DCLS-0595/2020	EPI_ISL_526815
USA/VA_NIDDL_2702/2020	EPI_ISL_491913
USA/WA-S278/2020	EPI_ISL_430132
USA/WA-UW-1255/2020	EPI_ISL_570547
USA/WA-UW-2228/2020	EPI_ISL_426119
USA/WA-UW-3841/2020	EPI_ISL_427190
USA/WA-UW301/2020	EPI_ISL_418869
USA/WA-UW330/2020	EPI_ISL_418897
USA/WI-UW-166/2020	EPI_ISL_428262
USA/WI-UW-184/2020	EPI_ISL_428280
USA/WI-UW-189/2020	EPI_ISL_428285
USA/WI-UW-218/2020	EPI_ISL_428314
USA/WI-UW-235/2020	EPI_ISL_428331
USA/WI-UW-245/2020	EPI_ISL_428341
USA/WI-UW-252/2020	EPI_ISL_428726
USA/WI-UW-28/2020	EPI_ISL_421286
USA/WI-UW-33/2020	EPI_ISL_421291
USA/WI-UW-405/2020	EPI_ISL_480387
USA/WI-WSLH-200048/2020	EPI_ISL_471213
USA/WI-WSLH-200094/2020	EPI_ISL_471258
USA/GA-CDC-8427/2020	EPI_ISL_594456
USA/GA-QDX-115/2020	EPI_ISL_467845
USA/GA-QDX-116/2020	EPI_ISL_467846
USA/GA-QDX-122/2020	EPI_ISL_467847
USA/GA-QDX-152/2020	EPI_ISL_467848
USA/GA-QDX-1717/2020	EPI_ISL_604024
USA/GA-QDX-1742/2020	EPI_ISL_604025
USA/GA-QDX-1771/2020	EPI_ISL_604027
USA/GA-QDX-1938/2020	EPI_ISL_604222
USA/GA-QDX-2115/2020	EPI_ISL_604449
USA/GA-QDX-2150/2020	EPI_ISL_604450
USA/GA-QDX-2158/2020	EPI_ISL_604451
USA/GA-QDX-2196/2020	EPI_ISL_604527
USA/GA-QDX-2219/2020	EPI_ISL_604529
USA/GA-QDX-2259/2020	EPI_ISL_604531
USA/GA-QDX-2367/2020	EPI_ISL_604692
USA/GA-QDX-2388/2020	EPI_ISL_604694
USA/GA-QDX-2420/2020	EPI_ISL_604695
USA/GA-QDX-2425/2020	EPI_ISL_604697
