Brazil/MG-CV33/2020	EPI_ISL_429689
Brazil/PR-FIOCRUZ-33313/2020	EPI_ISL_1181610
Brazil/RJ-DCVN1/2020	EPI_ISL_509434
Brazil/RJ-FIOCRUZ-1157/2020	EPI_ISL_1181611
Brazil/RJ-FIOCRUZ-912/2020	EPI_ISL_1181608
Brazil/RS-FIOCRUZ-6169/2020	EPI_ISL_729819
Brazil/SE-FIOCRUZ-6533/2020	EPI_ISL_541374
Brazil/SP-06/2020	EPI_ISL_414015
Brazil/SP-08/2020	EPI_ISL_416029
Brazil/SP-09/2020	EPI_ISL_416031
Brazil/SP-122/2020	EPI_ISL_515522
Brazil/SP-272/2020	EPI_ISL_524462
Brazil/SP-294/2020	EPI_ISL_527862
Brazil/SP-625/2020	EPI_ISL_515528
Brazil/SP-812/2020	EPI_ISL_861628
Brazil/SP-818/2020	EPI_ISL_776753
Brazil/SP-861/2020	EPI_ISL_861636
Brazil/SP-HIAE-ID43/2020	EPI_ISL_861907
Brazil/SP-HIAE-ID49/2020	EPI_ISL_861913
Brazil/SP-L12-CD28/2020	EPI_ISL_476221
Bulgaria/23/2020	EPI_ISL_480303
Bulgaria/41/2020	EPI_ISL_480310
Canada/AB-12751/2020	EPI_ISL_806078
Canada/AB-26007/2020	EPI_ISL_805869
Canada/AB-72930/2020	EPI_ISL_805615
Canada/MB-NML-639/2020	EPI_ISL_632921
Canada/MB-NML-651/2020	EPI_ISL_632930
Canada/MB_37/2020	EPI_ISL_429818
Canada/NB-206/2020	EPI_ISL_479627
Canada/NL-NML-1393/2020	EPI_ISL_906770
Canada/NL_34/2020	EPI_ISL_429815
Canada/NS-NML-910/2020	EPI_ISL_579559
Canada/NS-NML-955/2020	EPI_ISL_579585
Canada/ON-OICR-SLB2804/2020	EPI_ISL_538335
Canada/ON-S120/2020	EPI_ISL_586293
Canada/ON-S237/2020	EPI_ISL_755827
Canada/ON-S955/2020	EPI_ISL_792091
Canada/ON_MU-S1/2020	EPI_ISL_463970
Canada/ON_MU-S82/2020	EPI_ISL_463994
Canada/QC-JUS-V5241628/2020	EPI_ISL_1241117
Canada/QC-JUS-V5250534/2020	EPI_ISL_890748
Canada/QC-JUS-V5251006/2020	EPI_ISL_890460
Canada/QC-JUS-V5251566/2020	EPI_ISL_890565
Canada/QC-JUS-V5262807/2020	EPI_ISL_890509
Canada/QC-JUS-V5270613/2020	EPI_ISL_890503
Canada/QC-JUS-V5271813/2020	EPI_ISL_890654
Canada/QC-JUS-V5271838/2020	EPI_ISL_890793
Canada/QC-JUS-V5281174/2020	EPI_ISL_890771
Canada/QC-JUS-V5281581/2020	EPI_ISL_890753
Canada/QC-JUS-V5281616/2020	EPI_ISL_890765
Canada/QC-JUS-V5290618/2020	EPI_ISL_889873
Canada/QC-JUS-V5290932/2020	EPI_ISL_890868
Canada/QC-JUS-V5301580/2020	EPI_ISL_890810
Canada/QC-JUS-V5301970/2020	EPI_ISL_889875
Canada/QC-JUS-V5311004/2020	EPI_ISL_889952
